customer_id,square_customer_id,first_name,last_name,email,phone,date_of_birth,customer_type,preferred_eras,preferred_styles,preferred_sizes,total_orders,total_spent,average_order_value,first_purchase_date,last_purchase_date,acquisition_source
31,sq_cust_031,Joshua,Gutierrez,aprildean@example.com,303-482-4771 x093,1974-05-26,casual_buyer,"['Y2K', '1980s']",['grunge'],"['M', 'XL']",1,179.09,179.09,2023-11-03 00:00:00,2023-11-03 00:00:00,instagram
32,sq_cust_032,Alexis,Russell,victoriadurham@example.com,827.484.6773,1985-12-10,casual_buyer,"['1990s', '1960s']","['punk', 'preppy']",['size_8'],2,548.77,274.38,2023-08-31 00:00:00,2024-08-02 00:00:00,instagram
33,sq_cust_033,James,Weeks,michellehill@example.com,1 (884) 044-9972,1985-05-02,casual_buyer,['1980s'],"['grunge', 'band_tees']","['size_14', 'size_6']",4,687.66,171.92,2023-01-10 00:00:00,2024-03-04 00:00:00,word_of_mouth
34,sq_cust_034,Haley,Arnold,ugibson@example.org,(396) 360-5766,1983-04-05,casual_buyer,"['1980s', '1990s']","['disco', 'romantic', 'grunge']",['size_8'],1,311.89,311.89,2024-09-08 00:00:00,2024-09-08 00:00:00,word_of_mouth
35,sq_cust_035,Amanda,Shaw,molly71@example.net,902-621-7459 x615,1977-09-21,casual_buyer,"['1990s', '1960s']","['disco', 'grunge']","['size_14', 'size_6']",4,1282.29,320.57,2023-06-29 00:00:00,2024-10-10 00:00:00,tiktok
36,sq_cust_036,Emily,Higgins,cbrennan@example.net,534.316.1172,2002-11-05,casual_buyer,['1960s'],"['band_tees', 'bohemian']",['XL'],2,584.65,292.32,2024-08-05 00:00:00,2024-12-13 00:00:00,instagram
37,sq_cust_037,Amber,Flynn,michael62@example.org,(369) 222-1969 x379,1970-08-17,collector,"['Y2K', '1960s']","['minimalist', 'band_tees']",['size_8'],1,965.73,965.73,2023-06-14 00:00:00,2023-06-14 00:00:00,tiktok
38,sq_cust_038,Margaret,Stevens,nolansteven@example.com,(821) 759-4647 x436,1964-08-07,casual_buyer,['1990s'],['preppy'],"['XS', 'size_12']",0,0.0,0.0,,,instagram
39,sq_cust_039,James,Howard,victoria40@example.net,+1 (640) 909-7439,1969-12-29,collector,"['Y2K', '1980s']","['minimalist', 'romantic']","['M', 'size_10']",3,605.11,201.7,2023-05-04 00:00:00,2024-02-18 00:00:00,tiktok
40,sq_cust_040,Connor,King,courtneyberger@example.net,747-095-2145,1967-11-30,casual_buyer,"['1970s', '1980s']","['grunge', 'band_tees']","['L', 'XL']",1,212.2,212.2,2023-06-29 00:00:00,2023-06-29 00:00:00,instagram
41,sq_cust_041,Carlos,Ryan,alyssa42@example.com,145-171-2368 x516,1972-03-05,collector,['1990s'],"['preppy', 'band_tees', 'grunge']",['size_8'],2,523.41,261.7,2023-04-05 00:00:00,2024-10-05 00:00:00,tiktok
42,sq_cust_042,Becky,Richardson,brenda51@example.net,(570) 985-9317,1990-08-24,collector,"['1990s', '1960s']","['minimalist', 'punk', 'bohemian']","['XL', 'size_8']",1,268.53,268.53,2024-03-23 00:00:00,2024-03-23 00:00:00,walk_by
43,sq_cust_043,Bruce,Williams,torrestravis@example.org,(782) 675-8692,1990-12-02,casual_buyer,['1990s'],['disco'],"['size_10', 'XS']",0,0.0,0.0,,,instagram
44,sq_cust_044,Sandra,Gilbert,antonio53@example.com,235-158-5064 x317,1991-04-18,casual_buyer,"['1970s', '1960s']","['bohemian', 'romantic']","['M', 'size_10']",1,580.98,580.98,2024-06-20 00:00:00,2024-06-20 00:00:00,instagram
45,sq_cust_045,Maria,Harper,williamsmatthew@example.org,(118) 393-3529,1972-10-16,casual_buyer,"['1980s', '1990s']","['minimalist', 'preppy']",['size_10'],0,0.0,0.0,,,instagram
46,sq_cust_046,Victoria,Huerta,lauren10@example.org,753-950-2402,1984-09-25,casual_buyer,['1960s'],['punk'],['XS'],0,0.0,0.0,,,word_of_mouth
47,sq_cust_047,Nichole,Alvarez,william17@example.net,(790) 847-0076,1992-05-31,casual_buyer,['1990s'],"['disco', 'minimalist', 'preppy']",['size_14'],2,986.0,493.0,2023-04-21 00:00:00,2023-05-24 00:00:00,word_of_mouth
48,sq_cust_048,Katherine,Browning,lammarc@example.org,524.998.5698,1981-04-05,casual_buyer,['1980s'],['bohemian'],"['size_14', 'size_8']",2,209.77,104.88,2023-05-18 00:00:00,2023-06-13 00:00:00,instagram
49,sq_cust_049,Lisa,Garcia,farrelldebra@example.net,(667) 365-7661,1979-12-20,casual_buyer,['1960s'],"['disco', 'minimalist', 'band_tees']",['size_14'],0,0.0,0.0,,,word_of_mouth
50,sq_cust_050,Mary,Brooks,gloriawells@example.org,916.152.8098,1975-04-22,casual_buyer,['Y2K'],"['band_tees', 'bohemian', 'punk']","['S', 'size_8']",3,752.34,250.78,2023-02-08 00:00:00,2024-07-15 00:00:00,referral
51,sq_cust_051,Barbara,Gomez,uparrish@example.org,1-494-519-8327,2000-02-25,casual_buyer,"['1970s', '1980s']","['romantic', 'punk', 'minimalist']","['size_6', 'L']",1,122.67,122.67,2024-10-28 00:00:00,2024-10-28 00:00:00,walk_by
52,sq_cust_052,Hayley,Hawkins,farmeraudrey@example.com,(199) 809-4024 x455,1968-03-10,casual_buyer,"['Y2K', '1990s']","['bohemian', 'punk']","['M', 'size_10']",1,127.28,127.28,2024-05-07 00:00:00,2024-05-07 00:00:00,instagram
53,sq_cust_053,Charles,Sandoval,thomascynthia@example.org,683.667.5254,1996-10-08,casual_buyer,"['Y2K', '1960s']","['punk', 'bohemian', 'grunge']","['size_10', 'size_12']",1,212.2,212.2,2023-06-15 00:00:00,2023-06-15 00:00:00,word_of_mouth
54,sq_cust_054,Latoya,Miller,moorekaren@example.org,947.679.7643,1964-12-11,casual_buyer,"['1960s', 'Y2K']","['punk', 'romantic']",['XL'],2,136.06,68.03,2023-04-12 00:00:00,2023-05-01 00:00:00,word_of_mouth
55,sq_cust_055,Jessica,Campbell,trose@example.org,(569) 003-4324,1975-03-26,casual_buyer,"['Y2K', '1980s']","['romantic', 'preppy']","['XL', 'L']",1,121.01,121.01,2024-08-04 00:00:00,2024-08-04 00:00:00,instagram
56,sq_cust_056,Aimee,Burgess,davidpatel@example.org,(785) 160-6071 x596,1993-07-15,casual_buyer,['1970s'],['romantic'],"['size_14', 'size_12']",0,0.0,0.0,,,tiktok
57,sq_cust_057,Jason,Wilson,burchgeorge@example.net,651-613-6968 x164,1970-02-12,casual_buyer,"['1970s', '1980s']",['preppy'],"['XS', 'size_14']",3,940.57,313.52,2023-04-18 00:00:00,2024-01-26 00:00:00,tiktok
58,sq_cust_058,Peggy,Jones,schmidtjames@example.com,1 (223) 124-3292,1967-12-26,casual_buyer,"['1960s', 'Y2K']","['disco', 'punk', 'minimalist']","['size_6', 'M']",1,380.58,380.58,2024-04-18 00:00:00,2024-04-18 00:00:00,referral
59,sq_cust_059,Patricia,Snyder,kmaldonado@example.net,1 (152) 717-7449,1976-05-17,collector,['1990s'],"['grunge', 'disco']",['M'],0,0.0,0.0,,,instagram
60,sq_cust_060,Angela,Murray,brownmarie@example.org,499.867.9807,1974-12-01,collector,['1960s'],"['minimalist', 'disco', 'romantic']",['size_12'],0,0.0,0.0,,,instagram
61,sq_cust_061,John,Hernandez,hayeslisa@example.com,382.037.7889,1976-12-12,casual_buyer,"['1980s', '1960s']","['grunge', 'minimalist', 'romantic']",['XL'],1,166.04,166.04,2024-11-25 00:00:00,2024-11-25 00:00:00,word_of_mouth
62,sq_cust_062,Tabitha,Hughes,erika05@example.org,1 (318) 644-9251,2003-06-27,casual_buyer,['1960s'],"['romantic', 'band_tees']","['XL', 'XS']",2,527.7,263.85,2024-09-17 00:00:00,2024-11-12 00:00:00,instagram
63,sq_cust_063,Emily,Douglas,tanderson@example.org,1-186-528-1685,1976-11-20,collector,['1980s'],"['punk', 'romantic', 'bohemian']",['M'],1,666.5,666.5,2024-10-22 00:00:00,2024-10-22 00:00:00,walk_by
64,sq_cust_064,Christopher,Lewis,ilee@example.org,741.888.0592,1966-11-20,collector,"['Y2K', '1980s']","['grunge', 'punk']","['size_8', 'XL']",0,0.0,0.0,,,tiktok
65,sq_cust_065,Catherine,Schwartz,jenniferwilliams@example.com,(479) 473-8347,1977-02-19,casual_buyer,"['1980s', 'Y2K']",['grunge'],['size_14'],0,0.0,0.0,,,tiktok
66,sq_cust_066,Theresa,Joyce,xhammond@example.com,(986) 239-2407 x581,2000-05-03,casual_buyer,['1970s'],"['romantic', 'preppy']",['size_14'],1,48.15,48.15,2024-09-08 00:00:00,2024-09-08 00:00:00,tiktok
67,sq_cust_067,Dustin,Hines,shannon82@example.com,437.506.0685,1978-01-07,casual_buyer,"['1980s', 'Y2K']","['grunge', 'minimalist', 'romantic']","['size_8', 'size_10']",1,273.39,273.39,2023-08-14 00:00:00,2023-08-14 00:00:00,instagram
68,sq_cust_068,Brad,Walker,sarah52@example.org,547-277-9010,1969-10-31,collector,['1980s'],"['band_tees', 'bohemian']","['size_12', 'XS']",1,490.5,490.5,2023-01-04 00:00:00,2023-01-04 00:00:00,word_of_mouth
69,sq_cust_069,Brittany,Bentley,srodriguez@example.org,1-910-369-7117,1960-04-09,collector,"['Y2K', '1990s']","['romantic', 'minimalist', 'bohemian']",['XL'],1,326.66,326.66,2024-03-25 00:00:00,2024-03-25 00:00:00,tiktok
70,sq_cust_070,Jose,Allen,kellysmith@example.com,(996) 218-5188,1997-03-25,casual_buyer,"['1960s', 'Y2K']","['punk', 'band_tees', 'grunge']","['size_12', 'XS']",1,430.56,430.56,2024-03-27 00:00:00,2024-03-27 00:00:00,tiktok
71,sq_cust_071,Katie,Smith,ywilliams@example.com,1-105-153-1952,1976-05-23,casual_buyer,['1970s'],"['disco', 'romantic']","['size_8', 'size_10']",2,563.91,281.96,2023-03-25 00:00:00,2023-05-13 00:00:00,referral
72,sq_cust_072,Gina,Day,epollard@example.net,621 704 3030,2004-04-13,collector,['Y2K'],"['preppy', 'minimalist', 'bohemian']","['size_8', 'size_6']",1,420.26,420.26,2023-10-04 00:00:00,2023-10-04 00:00:00,walk_by
73,sq_cust_073,Kaylee,Hays,wking@example.net,(845) 054-1566,2002-06-04,casual_buyer,"['Y2K', '1990s']",['romantic'],"['size_6', 'size_14']",2,208.41,104.2,2023-11-14 00:00:00,2024-05-27 00:00:00,tiktok
74,sq_cust_074,Jasmine,Beltran,xholt@example.net,1-216-169-2845,1963-04-29,reseller,['1970s'],"['minimalist', 'grunge', 'punk']",['size_6'],3,524.05,174.68,2023-06-09 00:00:00,2024-05-19 00:00:00,word_of_mouth
75,sq_cust_075,Mary,Parker,cjackson@example.com,305-964-0165 x820,2000-03-20,casual_buyer,['1990s'],['preppy'],"['S', 'size_10']",2,643.68,321.84,2023-04-25 00:00:00,2023-06-05 00:00:00,instagram
76,sq_cust_076,Michael,Kim,carlososborne@example.com,1 (269) 092-7557,1987-01-11,casual_buyer,"['1970s', '1960s']","['disco', 'preppy']","['S', 'size_6']",2,647.55,323.77,2023-05-28 00:00:00,2024-05-26 00:00:00,walk_by
77,sq_cust_077,Joseph,Sanders,john10@example.net,578 681 4473,1992-10-16,reseller,"['Y2K', '1960s']","['grunge', 'romantic', 'band_tees']","['L', 'S']",0,0.0,0.0,,,tiktok
78,sq_cust_078,Yvonne,Gonzalez,melissahayes@example.net,415-518-8442 x258,1965-04-22,casual_buyer,['1990s'],['disco'],['XS'],2,336.61,168.3,2023-10-21 00:00:00,2024-11-01 00:00:00,instagram
79,sq_cust_079,Christina,Taylor,jjohnson@example.net,1 (978) 291-1467,1979-03-15,casual_buyer,['1970s'],"['minimalist', 'disco', 'band_tees']",['M'],1,550.78,550.78,2023-11-17 00:00:00,2023-11-17 00:00:00,instagram
80,sq_cust_080,Jennifer,Andrews,teresaday@example.com,385-289-2268 x018,1974-01-29,casual_buyer,['1990s'],"['preppy', 'grunge', 'punk']","['size_10', 'XL']",1,330.69,330.69,2023-03-31 00:00:00,2023-03-31 00:00:00,word_of_mouth
81,sq_cust_081,Christopher,Donovan,michaeleverett@example.com,943.842.4981,1990-04-01,reseller,['1960s'],"['band_tees', 'disco']","['size_8', 'XL']",1,445.73,445.73,2024-08-13 00:00:00,2024-08-13 00:00:00,tiktok
82,sq_cust_082,Leslie,Carpenter,donnale@example.net,1 (790) 010-9439,1989-02-24,casual_buyer,['1970s'],"['band_tees', 'disco']","['XL', 'XS']",2,907.69,453.84,2023-06-04 00:00:00,2024-05-29 00:00:00,referral
83,sq_cust_083,Amanda,Small,dawn47@example.org,+1 (447) 102-7677,1975-10-24,collector,['Y2K'],"['romantic', 'minimalist', 'preppy']",['size_14'],2,319.74,159.87,2023-01-16 00:00:00,2024-10-10 00:00:00,walk_by
84,sq_cust_084,Briana,Hensley,jessica56@example.org,1 (488) 153-7147,1966-03-30,casual_buyer,['1960s'],"['bohemian', 'preppy', 'punk']",['size_14'],0,0.0,0.0,,,instagram
85,sq_cust_085,Amber,Dougherty,kwright@example.com,1 (232) 787-7470,2004-11-07,casual_buyer,"['1970s', 'Y2K']",['band_tees'],"['M', 'XL']",0,0.0,0.0,,,walk_by
86,sq_cust_086,Jonathan,Levy,brandywilliams@example.com,197-480-1624 x565,1978-09-16,casual_buyer,"['1960s', '1990s']",['preppy'],['size_8'],0,0.0,0.0,,,referral
87,sq_cust_087,Kelly,Lee,charles87@example.net,1-699-121-6558,1995-09-21,collector,"['1960s', '1980s']","['grunge', 'punk', 'preppy']","['size_14', 'size_8']",0,0.0,0.0,,,walk_by
88,sq_cust_088,Curtis,Hicks,williamsderrick@example.com,587-298-2595 x269,1987-12-25,casual_buyer,"['1960s', '1980s']","['punk', 'band_tees', 'bohemian']","['XL', 'size_8']",1,144.49,144.49,2024-01-26 00:00:00,2024-01-26 00:00:00,instagram
89,sq_cust_089,Katie,Hicks,terickson@example.com,555-169-4097,2005-11-25,casual_buyer,"['1960s', 'Y2K']",['preppy'],"['size_10', 'size_6']",3,1887.22,629.07,2023-10-03 00:00:00,2024-12-29 00:00:00,word_of_mouth
90,sq_cust_090,Rachel,Parsons,jennifersilva@example.org,(396) 230-9130 x756,1979-04-22,casual_buyer,['1990s'],"['grunge', 'minimalist', 'punk']","['XL', 'XS']",1,258.99,258.99,2023-07-10 00:00:00,2023-07-10 00:00:00,word_of_mouth
91,sq_cust_091,Christina,Shaw,vsalas@example.net,328-385-7865,1981-07-18,reseller,"['1960s', '1980s']","['band_tees', 'bohemian', 'punk']","['L', 'S']",0,0.0,0.0,,,walk_by
92,sq_cust_092,Joseph,Payne,chelsea33@example.com,(243) 443-7575 x844,1987-01-04,casual_buyer,['1960s'],"['punk', 'grunge']",['S'],1,192.44,192.44,2023-05-12 00:00:00,2023-05-12 00:00:00,walk_by
93,sq_cust_093,Kimberly,Huang,xcardenas@example.org,1-904-157-4733,1972-06-30,casual_buyer,['1980s'],['bohemian'],"['M', 'size_14']",4,1696.9,424.22,2023-02-14 00:00:00,2024-12-24 00:00:00,tiktok
94,sq_cust_094,Justin,Nelson,gilbertbrenda@example.org,383-301-6571,1959-09-24,casual_buyer,['1970s'],['band_tees'],['size_14'],2,326.8,163.4,2023-05-10 00:00:00,2024-10-06 00:00:00,instagram
95,sq_cust_095,Krista,Hickman,edelgado@example.com,(345) 401-9380,1979-07-17,collector,"['Y2K', '1960s']","['grunge', 'punk', 'minimalist']","['size_12', 'S']",4,1067.36,266.84,2023-03-10 00:00:00,2023-09-13 00:00:00,tiktok
96,sq_cust_096,Sara,Peck,osbornrandy@example.com,840 049 9154,2006-12-16,collector,"['1990s', '1960s']",['romantic'],"['size_8', 'S']",1,224.91,224.91,2024-03-10 00:00:00,2024-03-10 00:00:00,tiktok
97,sq_cust_097,Joshua,Snyder,melissamcdonald@example.org,452.742.0549,1967-11-27,casual_buyer,"['Y2K', '1970s']",['preppy'],"['size_14', 'size_12']",3,958.99,319.66,2023-01-22 00:00:00,2024-11-17 00:00:00,word_of_mouth
98,sq_cust_098,Savannah,Prince,frobertson@example.com,822.753.0463,1995-08-30,casual_buyer,"['Y2K', '1990s']",['grunge'],['size_8'],1,299.01,299.01,2023-11-12 00:00:00,2023-11-12 00:00:00,tiktok
99,sq_cust_099,Tiffany,Turner,greenmichael@example.org,617-426-8414,1988-12-25,casual_buyer,"['1990s', '1960s']","['minimalist', 'preppy']","['size_6', 'M']",3,864.7,288.23,2023-12-28 00:00:00,2024-09-13 00:00:00,word_of_mouth
100,sq_cust_100,Colleen,Anderson,spencerzhang@example.com,+1 (987) 833-9187,1993-04-06,casual_buyer,['1990s'],['band_tees'],['size_12'],1,554.77,554.77,2023-12-20 00:00:00,2023-12-20 00:00:00,instagram
101,sq_cust_101,Blake,Elliott,poolerebecca@example.org,(122) 587-1397 x187,1981-03-31,casual_buyer,['1990s'],"['minimalist', 'romantic']",['XL'],1,361.67,361.67,2024-03-08 00:00:00,2024-03-08 00:00:00,word_of_mouth
102,sq_cust_102,Kayla,Bryant,hansenemily@example.com,264-039-1065,1985-06-16,casual_buyer,['1990s'],['grunge'],"['size_12', 'size_6']",0,0.0,0.0,,,instagram
103,sq_cust_103,Amy,Shannon,ajohnson@example.org,665 676 6182,1965-03-05,casual_buyer,['Y2K'],"['disco', 'bohemian', 'grunge']","['XL', 'size_6']",2,103.15,51.58,2023-05-23 00:00:00,2024-02-03 00:00:00,instagram
104,sq_cust_104,Wendy,Long,jessicawalker@example.org,647-868-6337,1966-12-05,casual_buyer,"['1960s', '1970s']","['bohemian', 'romantic', 'band_tees']",['size_8'],0,0.0,0.0,,,tiktok
105,sq_cust_105,Chelsea,Golden,johnsondonna@example.net,433-119-0790,1995-01-11,casual_buyer,"['Y2K', '1960s']",['preppy'],['size_14'],1,330.91,330.91,2024-05-30 00:00:00,2024-05-30 00:00:00,instagram
106,sq_cust_106,Jennifer,Young,karenparsons@example.org,(743) 959-9534 x283,1973-11-27,casual_buyer,"['Y2K', '1990s']","['disco', 'grunge']",['size_6'],0,0.0,0.0,,,tiktok
107,sq_cust_107,Amy,Fry,conniesimmons@example.com,356-856-6246,1995-09-11,casual_buyer,"['1960s', '1970s']","['bohemian', 'romantic']",['XL'],1,138.89,138.89,2024-01-18 00:00:00,2024-01-18 00:00:00,walk_by
108,sq_cust_108,John,Atkinson,meredith27@example.org,(666) 882-6343 x517,1963-12-03,casual_buyer,['1960s'],"['minimalist', 'grunge']",['size_8'],1,360.99,360.99,2024-08-14 00:00:00,2024-08-14 00:00:00,tiktok
109,sq_cust_109,Misty,Lee,nicholas99@example.org,439.837.3540,2004-06-19,casual_buyer,"['1960s', '1990s']","['bohemian', 'punk', 'romantic']","['S', 'size_6']",2,732.23,366.12,2024-04-10 00:00:00,2024-12-11 00:00:00,tiktok
110,sq_cust_110,Tonya,Wilson,srocha@example.net,(563) 854-6785,1972-01-14,casual_buyer,['1990s'],['band_tees'],['size_14'],4,1166.34,291.58,2023-02-22 00:00:00,2024-04-30 00:00:00,tiktok
111,sq_cust_111,Kayla,Crawford,langjennifer@example.com,(955) 609-3204,2004-05-08,collector,['1970s'],"['minimalist', 'disco']",['size_8'],2,820.2,410.1,2024-01-29 00:00:00,2024-05-08 00:00:00,walk_by
112,sq_cust_112,Lauren,Butler,jameshall@example.net,(378) 547-7725,1966-03-14,casual_buyer,['1960s'],"['grunge', 'disco', 'minimalist']",['size_6'],3,1902.74,634.25,2023-01-27 00:00:00,2023-10-18 00:00:00,instagram
113,sq_cust_113,Joshua,White,warrenmary@example.org,806-231-2038,1977-05-24,casual_buyer,['1960s'],['disco'],['M'],0,0.0,0.0,,,word_of_mouth
114,sq_cust_114,Luke,Estrada,bhopkins@example.org,(286) 008-4840 x862,2003-07-20,collector,"['1990s', 'Y2K']","['band_tees', 'minimalist', 'romantic']","['M', 'size_10']",1,75.7,75.7,2023-11-11 00:00:00,2023-11-11 00:00:00,instagram
115,sq_cust_115,Kelly,Allen,lisa46@example.org,1 (767) 933-4101,1977-09-08,casual_buyer,['1980s'],"['grunge', 'preppy', 'punk']","['XS', 'size_14']",1,216.64,216.64,2023-12-14 00:00:00,2023-12-14 00:00:00,instagram
116,sq_cust_116,Kristen,Brown,warnerchristopher@example.com,1 (191) 803-3974,2003-11-04,casual_buyer,['Y2K'],"['minimalist', 'punk', 'disco']",['size_10'],1,261.15,261.15,2024-12-03 00:00:00,2024-12-03 00:00:00,walk_by
117,sq_cust_117,Melinda,Ramirez,whitemelissa@example.org,(792) 614-2939,1991-12-24,casual_buyer,"['Y2K', '1970s']",['romantic'],['size_6'],2,593.39,296.7,2023-09-18 00:00:00,2024-02-25 00:00:00,referral
